frame,x,y,z,roll,pitch,yaw
frame_0000,0.287803769,0.141695336,0.487794608,3.136962652,0.016333273,-0.175774753
frame_0001,0.287805408,0.141692594,0.487793177,3.136964083,0.016337533,-0.175782323
frame_0002,0.287807435,0.141687185,0.487795949,3.136973143,0.016329747,-0.175791889
frame_0003,0.287808478,0.141686663,0.48779583,3.13697505,0.016327616,-0.175789148
frame_0004,0.287807524,0.141691774,0.487793982,3.136965036,0.0163291,-0.175783172
frame_0005,0.287808627,0.141687974,0.487795681,3.136972189,0.016322097,-0.175787702
frame_0006,0.28780821,0.141687393,0.487796962,3.136971474,0.016317995,-0.17578961
frame_0007,0.287808299,0.141690329,0.487794012,3.136966705,0.016325081,-0.175778463
frame_0008,0.287807852,0.141690984,0.487794459,3.136964083,0.016321041,-0.175782382
frame_0009,0.287809253,0.141687423,0.487797797,3.136974812,0.0163144,-0.175788715
frame_0010,0.287809312,0.141688406,0.487797081,3.136971712,0.016313393,-0.17578201
frame_0011,0.287807345,0.141692147,0.487797618,3.136965275,0.016308522,-0.175782397
frame_0012,0.287810206,0.141687974,0.487798691,3.136972189,0.016310593,-0.175787359
frame_0013,0.287809312,0.141687274,0.487796783,3.13697505,0.016313538,-0.175788492
frame_0014,0.287809759,0.141688377,0.487796694,3.136971235,0.016316028,-0.175792888
frame_0015,0.287808716,0.141689643,0.487796009,3.136965752,0.016309151,-0.175782129
frame_0016,0.287810534,0.141686127,0.487796485,3.136974335,0.016316921,-0.17579931
frame_0017,0.287809223,0.141689897,0.487796575,3.136971235,0.016310312,-0.17578581
frame_0018,0.28780961,0.141689539,0.487797588,3.136973619,0.016309114,-0.175789446
frame_0019,0.287810504,0.141687453,0.48779881,3.136977673,0.016309397,-0.175785661
frame_0020,0.287810445,0.141686916,0.487799197,3.136976242,0.016307624,-0.17579852
frame_0021,0.287809581,0.14168787,0.48779732,3.136969805,0.016308704,-0.175786927
frame_0022,0.287810445,0.141687691,0.487798393,3.136971474,0.016307697,-0.175786257
frame_0023,0.287810802,0.141687348,0.487798899,3.136977434,0.016307417,-0.175786227
frame_0024,0.287809849,0.14168781,0.487796843,3.136968136,0.016309759,-0.175787896
frame_0025,0.287811011,0.141687229,0.487798244,3.13697648,0.016305631,-0.175797313
frame_0026,0.287810117,0.141688094,0.487797827,3.136972666,0.016308447,-0.175787523
frame_0027,0.287809312,0.141688392,0.487798572,3.136969805,0.016305309,-0.17579174
frame_0028,0.287810534,0.14168632,0.487795651,3.136969566,0.016308637,-0.175794855
frame_0029,0.287809402,0.141689092,0.487798214,3.136972427,0.016306834,-0.175792217
frame_0030,0.28781113,0.141688868,0.487798393,3.136974812,0.016303379,-0.175783157
frame_0031,0.287810028,0.141689032,0.487797022,3.136971474,0.016305203,-0.175790444
frame_0032,0.287810862,0.141688257,0.487798929,3.136972427,0.016301244,-0.17578204
frame_0033,0.287811309,0.141686857,0.487796932,3.136972427,0.01630687,-0.175795361
frame_0034,0.287810922,0.141688138,0.487797499,3.136971712,0.016305711,-0.175784141
frame_0035,0.287811041,0.141687989,0.487798065,3.136972427,0.016302282,-0.175791234
frame_0036,0.287812203,0.141686127,0.487798512,3.136975765,0.016304811,-0.175799161
frame_0037,0.287810743,0.141687557,0.487796098,3.136970997,0.016307373,-0.175785691
frame_0038,0.287811488,0.141687855,0.487798423,3.136973143,0.016302936,-0.175791308
frame_0039,0.287811905,0.141686752,0.487800062,3.136975765,0.016299807,-0.175790578
frame_0040,0.287812859,0.141686887,0.487799764,3.136973143,0.016299849,-0.17579256
frame_0041,0.287811607,0.14168787,0.487800181,3.136974335,0.016298058,-0.175796196
frame_0042,0.287811697,0.141689047,0.487799466,3.136972189,0.016297596,-0.175793692
frame_0043,0.287811816,0.141686127,0.487804979,3.136982203,0.016282907,-0.175792128
frame_0044,0.28780973,0.141691417,0.487803191,3.136972666,0.016280171,-0.175777435
frame_0045,0.287819475,0.141682699,0.487798899,3.136968374,0.016295681,-0.17580764
frame_0046,0.287818491,0.141684711,0.487806916,3.136979818,0.016274823,-0.175800174
frame_0047,0.287820309,0.141683847,0.487809986,3.136979342,0.01626558,-0.175807908
frame_0048,0.288428932,0.140672475,0.488528997,3.137806892,0.01360983,-0.178304821
frame_0049,0.291624784,0.132869154,0.492515385,-3.140508652,0.005403807,-0.191911742
frame_0050,0.297709644,0.116803542,0.50003159,-3.1266222,-0.00494754,-0.21453613
frame_0051,0.305436671,0.093933858,0.50870198,-3.113895655,-0.017432172,-0.237493187
frame_0052,0.313288927,0.067375429,0.517675459,-3.100571156,-0.029235588,-0.256693929
frame_0053,0.32122457,0.042013198,0.52602613,-3.089132309,-0.038891762,-0.267471135
frame_0054,0.329521745,0.021977291,0.53270179,-3.082504749,-0.044127651,-0.270547748
frame_0055,0.339185566,0.008626815,0.536966741,-3.08660078,-0.044659909,-0.265743136
frame_0056,0.35005638,0.003952714,0.537870288,-3.09602356,-0.037682708,-0.250673145
frame_0057,0.361135334,0.004516252,0.535903096,-3.105686426,-0.024564439,-0.240058929
frame_0058,0.369511366,0.006627001,0.532728195,-3.111542702,-0.011113316,-0.233848989
frame_0059,0.375734836,0.008870624,0.52950114,-3.116036177,0.000440126,-0.228610918
frame_0060,0.378735274,0.009803285,0.528007984,-3.118080854,0.005765815,-0.226496488
frame_0061,0.380107343,0.009990555,0.527759135,-3.118733883,0.007235119,-0.225936875
frame_0062,0.380215883,0.010024382,0.528246582,-3.118677616,0.006216416,-0.225792512
frame_0063,0.380194813,0.010018223,0.528879225,-3.118551016,0.00476698,-0.225727543
frame_0064,0.380201817,0.010022281,0.52916038,-3.118622065,0.004109916,-0.225621402
frame_0065,0.380207807,0.010009278,0.529184639,-3.118729115,0.004031423,-0.225593179
frame_0066,0.380210131,0.010011113,0.529191732,-3.118789673,0.004006168,-0.225565732
frame_0067,0.380209744,0.010001702,0.529192805,-3.11884284,0.003992177,-0.22554712
frame_0068,0.380212754,0.010005154,0.529193342,-3.118903399,0.003975743,-0.225519225
frame_0069,0.380232155,0.010009046,0.529290259,-3.118905544,0.00377672,-0.225480273
